accuracy,precision,recall,f1,n,model,prompt
0.9447,0.9159,0.98,0.9469,199,claude-sonnet-4-6,engineered
0.9192,0.9192,0.9192,0.9192,198,claude-sonnet-4-6,simple
0.82,0.9706,0.66,0.7857,200,gemini-2-5-flash-lite,engineered
0.61,0.5632,0.98,0.7153,200,gemini-2-5-flash-lite,simple
0.82,0.75,0.96,0.8421,200,gemma-4-31b,engineered
0.82,0.7963,0.86,0.8269,200,gemma-4-31b,simple
0.955,0.9596,0.95,0.9548,200,gpt-5-5,engineered
0.965,0.9697,0.96,0.9648,200,gpt-5-5,simple
0.955,0.9333,0.98,0.9561,200,kimi-k2-6,engineered
0.96,0.9694,0.95,0.9596,200,kimi-k2-6,simple
0.875,0.9412,0.8,0.8649,200,qwen2-5-vl-72b,engineered
0.855,0.8318,0.89,0.8599,200,qwen2-5-vl-72b,simple
