task,dimension,model,prompt,accuracy,macro_f1,n,CONSPIRACY_precision,CONSPIRACY_recall,CONSPIRACY_f1,CONSPIRACY_support,PSEUDOSCIENCE_precision,PSEUDOSCIENCE_recall,PSEUDOSCIENCE_f1,PSEUDOSCIENCE_support,IMPOSTER_precision,IMPOSTER_recall,IMPOSTER_f1,IMPOSTER_support,OTHER_precision,OTHER_recall,OTHER_f1,OTHER_support
joint,genre,claude-sonnet-4-6,engineered,0.7286,0.5501,199,0.6591,0.4915,0.5631,59,0.7222,0.4643,0.5652,28,1.0,0.125,0.2222,8,0.75,0.9808,0.85,104
joint,genre,claude-sonnet-4-6,simple,0.7136,0.5642,199,0.6341,0.4407,0.52,59,0.8125,0.4643,0.5909,28,0.4,0.25,0.3077,8,0.7372,0.9712,0.8382,104
joint,genre,gemini-2-5-flash-lite,engineered,0.6142,0.3564,197,0.5909,0.2167,0.3171,60,0.75,0.2308,0.3529,26,0.0,0.0,0.0,8,0.6108,0.9903,0.7556,103
joint,genre,gemini-2-5-flash-lite,simple,0.535,0.2071,200,0.4,0.0333,0.0615,60,1.0,0.0357,0.069,28,0.0,0.0,0.0,8,0.5361,1.0,0.698,104
joint,genre,gemma-4-31b,engineered,0.62,0.4363,200,0.5263,0.1667,0.2532,60,0.8462,0.3929,0.5366,28,0.5,0.125,0.2,8,0.6145,0.9808,0.7556,104
joint,genre,gemma-4-31b,simple,0.53,0.3263,200,0.2727,0.05,0.0845,60,1.0,0.2143,0.3529,28,0.125,0.25,0.1667,8,0.5689,0.9135,0.7011,104
joint,genre,gpt-5-5,engineered,0.77,0.5456,200,0.7234,0.5667,0.6355,60,0.7391,0.6071,0.6667,28,0.0,0.0,0.0,8,0.7923,0.9904,0.8803,104
joint,genre,gpt-5-5,simple,0.75,0.5951,200,0.6667,0.5333,0.5926,60,0.6667,0.5,0.5714,28,0.5,0.25,0.3333,8,0.8031,0.9808,0.8831,104
joint,genre,kimi-k2-6,engineered,0.75,0.25,4,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,1.0,1.0,3
joint,genre,kimi-k2-6,simple,0.7337,0.6451,199,0.6512,0.4667,0.5437,60,0.7333,0.3929,0.5116,28,1.0,0.5,0.6667,8,0.7518,1.0,0.8583,103
joint,genre,qwen2-5-vl-72b,engineered,0.73,0.5219,200,0.7188,0.3833,0.5,60,0.7097,0.7857,0.7458,28,0.0,0.0,0.0,8,0.7426,0.9712,0.8417,104
joint,genre,qwen2-5-vl-72b,simple,0.69,0.4841,200,0.6429,0.45,0.5294,60,0.6,0.3214,0.4186,28,0.2,0.125,0.1538,8,0.7319,0.9712,0.8347,104
